ID,Name,Category,Price,Stock
001,Laptop Pro 15,Electronics,2499.99,15
002,Ergonomic Chair,Furniture,349.50,42
003,Premium Coffee,Beverages,24.99,100
004,4K Monitor,Electronics,599.00,28
005,Standing Desk,Furniture,799.00,18
006,Wireless Mouse,Electronics,79.99,65
007,Office Lamp,Furniture,89.00,33
008,Green Tea,Beverages,12.99,150
009,Mechanical Keyboard,Electronics,149.99,40
010,Bookshelf Oak,Furniture,249.00,12
011,Energy Drink,Beverages,3.99,200
012,USB Hub,Electronics,39.99,85
013,Desk Organiser,Furniture,45.00,55
014,Sparkling Water,Beverages,1.99,300
015,Webcam HD,Electronics,99.99,30
016,Filing Cabinet,Furniture,199.00,8
017,Herbal Tea,Beverages,9.99,120
018,External SSD,Electronics,129.99,50
019,Bean Bag,Furniture,149.00,22
020,Orange Juice,Beverages,4.99,180
